Training: 2023-07-17 05:18:02,220-rank_id: 0
Training: 2023-07-17 05:18:07,783-: margin_list              [1.0, 0.0, 0.4]
Training: 2023-07-17 05:18:07,784-: network                  ghost
Training: 2023-07-17 05:18:07,784-: resume                   False
Training: 2023-07-17 05:18:07,784-: save_all_states          False
Training: 2023-07-17 05:18:07,784-: output                   wf4m_arcface_ghost
Training: 2023-07-17 05:18:07,784-: embedding_size           512
Training: 2023-07-17 05:18:07,784-: sample_rate              1.0
Training: 2023-07-17 05:18:07,785-: interclass_filtering_threshold0
Training: 2023-07-17 05:18:07,785-: fp16                     True
Training: 2023-07-17 05:18:07,785-: batch_size               128
Training: 2023-07-17 05:18:07,785-: optimizer                sgd
Training: 2023-07-17 05:18:07,785-: lr                       0.1
Training: 2023-07-17 05:18:07,785-: momentum                 0.9
Training: 2023-07-17 05:18:07,785-: weight_decay             0.0005
Training: 2023-07-17 05:18:07,786-: verbose                  2000
Training: 2023-07-17 05:18:07,786-: frequent                 10
Training: 2023-07-17 05:18:07,786-: dali                     False
Training: 2023-07-17 05:18:07,786-: dali_aug                 False
Training: 2023-07-17 05:18:07,786-: gradient_acc             1
Training: 2023-07-17 05:18:07,786-: seed                     2048
Training: 2023-07-17 05:18:07,786-: num_workers              2
Training: 2023-07-17 05:18:07,787-: wandb_key                XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
Training: 2023-07-17 05:18:07,787-: suffix_run_name          None
Training: 2023-07-17 05:18:07,787-: using_wandb              False
Training: 2023-07-17 05:18:07,787-: wandb_entity             entity
Training: 2023-07-17 05:18:07,787-: wandb_project            project
Training: 2023-07-17 05:18:07,787-: wandb_log_all            True
Training: 2023-07-17 05:18:07,787-: save_artifacts           False
Training: 2023-07-17 05:18:07,788-: wandb_resume             False
Training: 2023-07-17 05:18:07,788-: rec                      /opt/ml/project/data/faces_webface_112x112
Training: 2023-07-17 05:18:07,788-: num_classes              10571
Training: 2023-07-17 05:18:07,788-: num_image                494149
Training: 2023-07-17 05:18:07,788-: num_epoch                27
Training: 2023-07-17 05:18:07,788-: warmup_epoch             3
Training: 2023-07-17 05:18:07,789-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2023-07-17 05:18:07,789-: total_batch_size         128
Training: 2023-07-17 05:18:07,789-: warmup_step              11580
Training: 2023-07-17 05:18:07,789-: total_step               104220
Training: 2023-07-17 05:19:06,381-Reducer buckets have been rebuilt in this iteration.
Training: 2023-07-17 05:19:07,806-Speed 1594.80 samples/sec   Loss 38.6004   LearningRate 0.000173   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 2048   Required: 14 hours
Training: 2023-07-17 05:19:08,626-Speed 1561.91 samples/sec   Loss 38.6086   LearningRate 0.000259   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 2048   Required: 10 hours
Training: 2023-07-17 05:19:09,627-Speed 1279.36 samples/sec   Loss 38.3571   LearningRate 0.000345   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 2048   Required: 8 hours
Training: 2023-07-17 05:19:10,565-Speed 1365.23 samples/sec   Loss 38.0207   LearningRate 0.000432   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 2048   Required: 7 hours
Training: 2023-07-17 05:19:11,611-Speed 1225.15 samples/sec   Loss 37.9520   LearningRate 0.000518   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 2048   Required: 7 hours
Training: 2023-07-17 05:19:12,534-Speed 1387.96 samples/sec   Loss 37.6648   LearningRate 0.000604   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 2048   Required: 6 hours
Training: 2023-07-17 05:19:13,573-Speed 1233.33 samples/sec   Loss 37.5565   LearningRate 0.000691   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 2048   Required: 6 hours
Training: 2023-07-17 05:19:14,501-Speed 1379.98 samples/sec   Loss 37.4966   LearningRate 0.000777   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 2048   Required: 5 hours
